subject,decoder,n,accuracy,kappa,mi_plugin_bits,mm_correction_bits,mi_corrected_bits,tau_sec,b_min_bpm,itr_bpm,veff_0.4,veff_0.5,veff_0.6,veff_0.7,veff_0.8,veff_0.9
S1,primary,281,0.7793594306049823,0.7057293426119856,1.2080286216633784,0.012835365132464088,1.1951932565309142,8.043148936170212,8.915860686026376,6.631414175697589,4,4,4,3,2,0
S1,fbcsp,281,0.8540925266903915,0.8053424796404555,1.3985419690428715,0.007701219079478453,1.390840749963393,8.043148936170212,10.375344987399792,8.722246909565774,4,4,4,4,3,2
S2,primary,283,0.4452296819787986,0.2612808831842518,0.21887779121434087,0.020391449341186762,0.19848634187315412,8.043148936170212,1.480661443285404,0.965165273514547,3,1,1,0,0,0
S2,fbcsp,283,0.4028268551236749,0.20775563617088222,0.18954545377956844,0.017842518173538418,0.17170293560603003,8.043148936170212,1.280863529709452,0.60366476143151,1,1,0,0,0,0
S3,primary,273,0.73992673992674,0.6528770214366304,0.9505699374097737,0.015853791658120477,0.9347161457516532,8.043148936170212,6.972762681652318,5.676409117077752,4,4,3,3,1,0
S3,fbcsp,273,0.8131868131868132,0.7508633801556768,1.192302670438872,0.018496090267807224,1.1738065801710647,8.043148936170212,8.756321108707299,7.528029323737193,4,4,4,3,2,1
S4,primary,228,0.5877192982456141,0.45169873106835856,0.6162377694841259,0.025310439313841464,0.5909273301702844,8.043148936170212,4.408178947274282,2.7516685955867755,4,3,2,0,0,0
S4,fbcsp,228,0.6798245614035088,0.5733620424484773,0.8113444279271229,0.028474244228071648,0.7828701836990513,8.043148936170212,5.840027505981897,4.386056770910662,4,4,3,2,0,0
S5,primary,276,0.39855072463768115,0.2002653214404161,0.1107260255230601,0.023522201753624402,0.0872038237694357,8.043148936170212,0.6505200224052416,0.5716339152806744,2,0,0,0,0,0
S5,fbcsp,276,0.6086956521739131,0.4801353378213401,0.5726922724119157,0.018295045808374537,0.5543972266035412,8.043148936170212,4.135672963436535,3.0895447957707436,3,3,2,2,0,0
S6,primary,215,0.413953488372093,0.2172103909613663,0.12552717098851335,0.026840837970027225,0.09868633301848612,8.043148936170212,0.7361768416946122,0.6908369585470078,2,1,0,0,0,0
S6,fbcsp,215,0.49767441860465117,0.33093214234260193,0.28087054080307167,0.023485733223773824,0.2573848075792978,8.043148936170212,1.9200301495487635,1.5206611028672792,3,3,0,0,0,0
S7,primary,277,0.7075812274368231,0.6115881314267908,0.9069343524536368,0.013020713365423858,0.893913639088213,8.043148936170212,6.668385575218664,4.958520184261888,4,4,4,2,0,0
S7,fbcsp,277,0.8664259927797834,0.8222110430724929,1.3840142890160925,0.007812428019254314,1.376201860996838,8.043148936170212,10.266142317529612,9.109351176025637,4,4,4,4,4,1
S8,primary,271,0.7749077490774908,0.6997311730301159,1.014987372576756,0.018632592779008753,0.9963547797977472,8.043148936170212,7.432572399477413,6.518938059215753,4,4,4,3,1,0
S8,fbcsp,271,0.8118081180811808,0.7491697065389014,1.0828816702918684,0.018632592779008753,1.0642490775128597,8.043148936170212,7.939047897473903,7.489971473596959,4,4,4,4,2,0
S9,primary,264,0.7310606060606061,0.6407819087773093,1.0210576682964259,0.016394261828283678,1.0046634064681421,8.043148936170212,7.494552800956969,5.473994365580721,4,3,3,2,2,0
S9,fbcsp,264,0.696969696969697,0.5950609709333539,0.8271335893485032,0.01912663879966429,0.808006950548839,8.043148936170212,6.027541876653915,4.735046199708088,4,4,3,3,1,0
